"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"33",2020-05-31,3050.2,122.27,0.0417598781391632,2927.93,2708.07,3102.96,10572228120,160035770000,893696585583
"34",2020-04-30,2927.93,141.03,0.0506046144461587,2760.54,2626.1,3023.83,10891132640,163703920000,733660815583
"35",2020-03-31,2786.9,-542.59,-0.162964898528003,3355.33,2302.84,3448.24,20730638640,320373530000,569956895583
"36",2020-02-29,3329.49,-311.42,-0.0855335616645289,3646.86,3283.18,3867.28,10362205930,191544510000,890330425583
"37",2020-01-31,3640.91,-104.24,-0.0278333311082334,3754.24,3639.44,3813.8,7158107650,145045560000,1081874935583
"38",2019-12-31,3745.15,41.5700000000002,0.0112242748907814,3703.76,3594.8,3794.93,6652702850,132915120000,1226920495583
"39",2019-11-30,3703.58,99.1700000000001,0.0275135181624732,3610.22,3607.68,3733.45,7138830620,134824410000,1094005375583
"40",2019-10-31,3604.41,34.96,0.00979422600120468,3573.08,3398.64,3637.94,8433999680,156293730000,959180965583
"41",2019-09-30,3569.45,142.69,0.0416399164225098,3426.24,3406.55,3578.04,8059289370,143809470000,802887235583
"42",2019-08-31,3426.76,-40.0899999999997,-0.0115638115291979,3458.01,3239.2,3491.16,8669046010,152568290000,659077765583
"43",2019-07-31,3466.85,-6.84000000000015,-0.00196908762727824,3476.08,3455.13,3573.57,7646087070,140642100000,811646055583
"44",2019-06-30,3473.69,193.26,0.058913008355612,3274.97,3248.54,3496.79,7368057140,137065670000,952288155583
"45",2019-05-31,3280.43,-234.19,-0.0666330926245227,3514.62,3258.04,3514.62,9387706610,167058510000,815222485583
"46",2019-04-30,3514.62,162.91,0.0486050404122075,3353.67,3353.67,3515.15,7225347340,138745150000,982280995583
"47",2019-03-31,3351.71,53.4499999999998,0.0162055144227562,3306.59,3273.68,3422.34,8580426720,155505520000,843535845583
"48",2019-02-28,3298.26,138.83,0.0439414704551139,3162.46,3124.62,3301.02,7802736610,131748140000,688030325583
"49",2019-01-31,3159.43,158.01,0.0526450813281713,2982.8,2936.76,3177.1,8098081190,141628160000,556282185583
"50",2018-12-31,3001.42,-171.71,-0.0541137614910199,3187.33,2908.7,3244.98,8629186600,153044390000,414654025583
"51",2018-11-30,3173.13,-24.3800000000001,-0.0076246829564255,3196.13,3100.77,3263.72,8294591970,156394250000,567698415583
"52",2018-10-31,3197.51,-201.69,-0.0593345493057189,3399.96,3090.85,3425.45,10610183880,197050320000,724092665583
"53",2018-09-30,3399.2,6.29999999999973,0.0018568186507117,3391.82,3274.4,3452.41,9000808150,154728290000,921142985583
"54",2018-08-31,3392.9,-132.59,-0.0376089564854814,3527.82,3349.14,3531.61,7789534670,139906240000,766414695583
"55",2018-07-31,3525.49,129.89,0.0382524443397337,3375.56,3345.09,3536.87,7445107220,144128860000,906320935583
"56",2018-06-30,3395.6,-11.0500000000002,-0.00324365579087966,3420.84,3340.85,3540.64,9630858010,177111140000,762192075583
"57",2018-05-31,3406.65,-129.87,-0.0367225408028231,3536.42,3391.01,3596.2,11043775180,187996840000,939303215583
"58",2018-04-30,3536.52,175.02,0.05206604194556,3349.02,3300.5,3538.17,7002326690,147602740000,1127300055583
"59",2018-03-31,3361.5,-77.46,-0.0225242515179008,3429.96,3261.86,3448.63,9113965420,183456100000,979697315583
"60",2018-02-28,3438.96,-170.33,-0.0471921070349016,3616.16,3306.66,3636.22,9684283440,184630760000,1163153415583
"61",2018-01-31,3609.29,105.33,0.0300602746606696,3506.5,3469.23,3687.22,8306424870,169751490000,1347784175583
"62",2017-12-31,3503.96,-65.9699999999998,-0.0184793539369119,3571.63,3503.2,3613.57,6771731970,132353840000,1178032685583
"63",2017-11-30,3569.93,-104.02,-0.028312851290845,3676.99,3519.35,3708.82,7683280300,158484810000,1310386525583
"64",2017-10-31,3673.95,79.0999999999999,0.0220036997371239,3590.71,3580.21,3677.66,7721755630,140628230000,1468871335583
"65",2017-09-30,3594.85,173.38,0.0506741254490029,3425.84,3396.69,3594.85,7374128410,141157630000,1328243105583
"66",2017-08-31,3421.47,-27.8900000000003,-0.00808555790059615,3457.97,3363.68,3524.94,7126817530,133113760000,1187085475583
"67",2017-07-31,3449.36,7.48000000000002,0.00217323090868944,3449.75,3431.19,3539.48,8285236190,149625440000,1320199235583
"68",2017-06-30,3441.88,-112.71,-0.031708298284753,3556.18,3439.79,3615.06,9942908340,168626180000,1170573795583
"69",2017-05-31,3554.59,-5,-0.00140465615422001,3559.59,3529.35,3666.8,9731340660,166615140000,1339199975583
"70",2017-04-30,3559.59,58.6600000000003,0.0167555478115816,3504.26,3407.33,3593.13,8498640240,144165070000,1505815115583
"71",2017-03-31,3500.93,181.32,0.0546208741388295,3335.77,3335.77,3500.93,10771415880,169943740000,1361650045583
"72",2017-02-28,3319.61,88.9300000000003,0.0275267126425397,3243.9,3214.31,3355.4,8154956820,132001700000,1191706305583
"73",2017-01-31,3230.68,-59.8400000000001,-0.0181855755321348,3278.84,3230.68,3342.47,8853823350,142678330000,1059704605583
"74",2016-12-31,3290.52,238.91,0.0782898207831275,3044.57,2984.48,3290.52,10109465500,154847010000,1202382935583
"75",2016-11-30,3051.61,-3.63999999999987,-0.00119139186645933,3063.2,2937.98,3105.16,10811998080,158669510000,1047535925583
"76",2016-10-31,3055.25,53.0100000000002,0.0176568162438713,2999.19,2954.45,3109.61,8601705670,130208910000,1206205435583
"77",2016-09-30,3002.24,-20.8900000000003,-0.00691005679544059,3027.86,2922.82,3101.75,11507016950,148326390000,1075996525583
"78",2016-08-31,3023.13,32.3699999999999,0.0108233358744934,3001.36,2892.52,3063.4,10797769660,116715820000,1224322915583
"79",2016-07-31,2990.76,126.02,0.0439900305088771,2874.15,2742.66,3016.82,13676551100,137517460000,1107607095583
"80",2016-06-30,2864.74,-198.74,-0.0648739342186011,3061.44,2678.27,3064.06,17638696600,196427920000,970089635583
"81",2016-05-31,3063.48,35.27,0.0116471446828324,3037.62,2893.63,3097.96,11843091720,143888930000,1166517555583
"82",2016-04-30,3028.21,23.2800000000002,0.00774726865517673,2984.36,2860.32,3156.86,12527588010,158680690000,1022628625583
"83",2016-03-31,3004.93,59.1799999999998,0.0200899601120257,2944.77,2930.24,3128.71,13076775660,172103490000,863947935583
"84",2016-02-29,2945.75,-99.3400000000001,-0.0326230095005403,3048.75,2672.73,3051.84,15094489740,191613600000,691844445583
"85",2016-01-31,3045.09,-222.43,-0.0680730339829595,3266.01,2855.44,3266.01,13481254140,193205740000,883458045583
"86",2015-12-31,3267.52,-238.93,-0.0681401417387956,3509.9,3137.28,3520.03,10111671420,173092460000,1076663785583
"87",2015-11-30,3506.45,88.2199999999998,0.0258086787606451,3404.38,3326.2,3524.04,9227043990,156983360000,1249756245583
"88",2015-10-31,3418.23,317.56,0.102416574482289,3113.01,3036.17,3450.61,10451334730,176458640000,1092772885583
"89",2015-09-30,3100.67,-168.96,-0.051675571853696,3238.95,2987.47,3326.86,12718672170,206634780000,916314245583
"90",2015-08-31,3269.63,-331.06,-0.0919434886091277,3599.21,2973.16,3686.57,11647561830,199844250000,1122949025583
"91",2015-07-31,3600.69,176.39,0.0515112577753117,3444.2,3291.39,3714.26,12332797730,205983660000,1322793275583
"92",2015-06-30,3424.3,-146.48,-0.0410218495678815,3582.08,3374.18,3651.31,13720005390,230188840000,1116809615583
"93",2015-05-31,3570.78,-44.8099999999999,-0.0123935512599603,3615.59,3484.07,3691.42,12298279330,182580380000,1346998455583
"94",2015-04-30,3615.59,-81.79,-0.0221210695140883,3688.18,3577.69,3836.28,11842793550,175639520000,1529578835583
"95",2015-03-31,3697.38,98.3800000000001,0.0273353709363712,3594.25,3533.4,3742.42,13162921110,190551840000,1705218355583
"96",2015-02-28,3599,247.56,0.073866755782589,3356.13,3321.59,3599,12561921180,157452550000,1514666515583
"97",2015-01-31,3351.44,205.01,0.0651563835839349,3169.75,2998.53,3417.46,16417083140,194563290000,1357213965583
"98",2014-12-31,3146.43,-104.5,-0.0321446478392337,3228.68,2921.73,3278.63,14044716490,152953400000,1162650675583
"99",2014-11-30,3250.93,137.61,0.0442004034278518,3107.8,3026.41,3250.93,12966275590,157839650000,1315604075583
"100",2014-10-31,3113.32,-112.61,-0.0349077630326757,3217.81,2789.63,3236.58,17517102300,238003670000,1157764425583
"101",2014-09-30,3225.93,53.2999999999997,0.0167999420039525,3175.56,3158.27,3301.15,11386618330,167332450000,1395768095583
