"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"131",2022-08-02,3684.63,-21.9899999999998,-0.00593262864820235,3701.63,3664.28,3701.63,299135280,5569580000,331257390000
"132",2022-08-01,3706.62,-1.48000000000002,-0.0003991262371565,3705.76,3699.77,3730.98,299765830,5508870000,336826970000
"133",2022-07-29,3708.1,55.9000000000001,0.015305843053502,3662.7,3662.7,3720.16,473929710,8625850000,342335840000
"134",2022-07-28,3652.2,44.4199999999996,0.0123122806823031,3623.29,3594.58,3652.87,395139400,6784170000,333709990000
"135",2022-07-27,3607.78,32.4200000000001,0.00906761836570305,3583.39,3583.39,3617.5,288495830,5490970000,326925820000
"136",2022-07-26,3575.36,-28.7999999999997,-0.00799076622569468,3602.01,3571.84,3604.37,260512100,5241760000,321434850000
"137",2022-07-25,3604.16,7.67000000000007,0.00213263487455827,3592.33,3572.75,3619.52,283681470,5226390000,326676610000
"138",2022-07-22,3596.49,-0.0200000000004366,-5.56094658444897e-06,3589.96,3577.81,3625.16,377012420,6162510000,321450220000
"139",2022-07-21,3596.51,11.2700000000004,0.00314344367462163,3581.72,3554.69,3611.1,503801920,7076350000,327612730000
"140",2022-07-20,3585.24,-2.20000000000027,-0.000613250674575818,3583.86,3546.46,3605.32,403049850,6478010000,320536380000
"141",2022-07-19,3587.44,75.5799999999999,0.0215213590518984,3498.43,3473.64,3593.78,380393290,6473300000,327014390000
"142",2022-07-18,3511.86,34.6600000000003,0.00996779017600377,3480.36,3480.36,3532.61,338322950,5181820000,320541090000
"143",2022-07-15,3477.2,80.5899999999997,0.0237265979903491,3402.68,3394.02,3480.85,422874630,6921330000,315359270000
"144",2022-07-14,3396.61,-57.3599999999997,-0.0166069768990465,3449.34,3372.12,3454.26,445088150,6455060000,308437940000
"145",2022-07-13,3453.97,-33.0800000000004,-0.00948652872772125,3481.82,3409.54,3481.82,308179990,6014550000,3.14893e+11
"146",2022-07-12,3487.05,15.3600000000001,0.00442435816561966,3457.15,3425.59,3489.37,430118340,6653900000,320907550000
"147",2022-07-11,3471.69,-34.8600000000001,-0.00994139538862989,3485,3440.14,3492.11,259275860,4839800000,314253650000
"148",2022-07-08,3506.55,18.0500000000002,0.00517414361473418,3484.71,3454.51,3510.86,305026510,5998300000,319093450000
"149",2022-07-07,3488.5,66.6599999999999,0.0194807472003366,3443.25,3443.25,3493.94,374342950,7097800000,313095150000
"150",2022-07-06,3421.84,62.0100000000002,0.0184562909432918,3368.51,3368.51,3438.96,377024620,7134910000,305997350000
"151",2022-07-05,3359.83,-92.5900000000001,-0.0268188690831359,3464.39,3357.06,3477.04,405060540,7730320000,298862440000
"152",2022-07-04,3452.42,4.11000000000013,0.00119188820030685,3458.99,3445.39,3476.63,281359700,4163670000,306592760000
"153",2022-07-01,3448.31,-6.55000000000018,-0.00189588000671523,3450.62,3405.44,3471.25,341439740,6128900000,302429090000
"154",2022-06-30,3454.86,-59.46,-0.0169193471283207,3501.2,3414.74,3501.2,478702560,9119700000,308557990000
"155",2022-06-29,3514.32,-34.9699999999998,-0.00985267476030412,3534.82,3495.18,3534.82,270935980,5824820000,317677690000
"156",2022-06-28,3549.29,10.4099999999999,0.00294160864454286,3545.92,3545.89,3583.46,282004560,5799630000,323502510000
"157",2022-06-27,3538.88,5.71000000000004,0.00161611244293369,3537.86,3523.97,3595.67,332026270,6346630000,317702880000
"158",2022-06-24,3533.17,96.8800000000001,0.0281931967325226,3443.28,3443.28,3538.94,333738330,7209260000,311356250000
"159",2022-06-23,3436.29,-28.3499999999999,-0.00818266832917703,3456.35,3411.83,3481.85,395731910,7131540000,304146990000
"160",2022-06-22,3464.64,-29.3600000000001,-0.00840297653119637,3494,3413.04,3494,314963510,6451750000,311278530000
